language,cnt,freq
TypeScript,1126,0.2501110617503332
C#,622,0.13816081741448244
JavaScript,565,0.12549977787649932
Java,492,0.10928476232785429
PHP,378,0.08396268325188805
Python,326,0.07241226121723679
C++,197,0.04375832963127499
Kotlin,165,0.036650377609951136
Swift,146,0.03243003109729009
Go,91,0.020213238560639717
Dart,89,0.019768991559306975
Ruby,79,0.01754775655264327
DB,52,0.011550422034651266
C,49,0.010884051532652154
1C,22,0.004886717014660151
Apex,20,0.00444247001332741
Rust,20,0.00444247001332741
Scala,15,0.0033318525099955577
Інша,13,0.0028876055086628164
Pascal / Delphi,10,0.002221235006663705
ABAP,5,0.0011106175033318525
X++ / D365,4,0.000888494002665482
AL,3,0.0006663705019991116
