language,now_freq,add_freq,total
DB,0.05968367651447329,0.19675067161315082,0.2564343481276241
JavaScript,0.11518949567293345,0.19470385058206474,0.3098933462549982
Python,0.15905699791107134,0.13956760905718307,0.29862460696825444
TypeScript,0.20635631154879142,0.1051554304720481,0.31151174202083953
Bash / Shell,0.018203521336914354,0.0709991045157989,0.08920262585271325
Java,0.10041778573560131,0.040040936420621724,0.14045872215622304
Go,0.016860638615338704,0.027760010234105157,0.04462064884944386
C#,0.11026559236048941,0.027248304976333633,0.13751389733682304
PHP,0.059236048940614745,0.02712037866189075,0.0863564276025055
PowerShell,0.005669949268874963,0.02097991556863247,0.026649864837507434
Groovy,0.002387347060578932,0.020340283996418063,0.022727631056996996
C++,0.03282602208296031,0.01995650505308942,0.05278252713604973
Kotlin,0.027603700387943898,0.01854931559421773,0.04615301598216163
C,0.008654133094598627,0.013048484073173851,0.021702617167772477
Swift,0.022829006266786033,0.012536778815402327,0.035365785082188364
